GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7Z001,H7Z002,H7Z003,H7Z004,H7Z005,H7Z006,H7Z007,H7Z008,H7Z009,H7Z010,H7Z011,H7Z012,H7Z013,H7Z014,H7Z015,H7Z016,H7Z017,H76001,H76002,H76003,H76004,H76005,H76006,H76007,H76008,H76009,H76010,H76011,H76012,H76013,H76014,H76015,H76016,H76017,H76018,H76019,H76020,H76021,H76022,H76023,H76024,H76025,H76026,H76027,H76028,H76029,H76030,H76031,H76032,H76033,H76034,H76035,H76036,H76037,H76038,H76039,H76040,H76041,H76042,H76043,H76044,H76045,H76046,H76047,H76048,H76049
"G20000109526001","2010","2","4","Kansas","20","Allen County","001",,,"952600","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,2011,2011,0,0,0,2011,0,2011,1977,1896,17,17,2,1,0,44,34,24,0,1,1,0,4,4,2011,1002,57,58,69,51,25,10,8,25,47,44,49,56,87,73,75,27,30,23,35,45,39,39,30,1009,54,69,66,42,27,8,8,18,45,38,52,47,90,76,82,34,29,20,33,47,43,36,45
"G20000109527001","2010","2","4","Kansas","20","Allen County","001",,,"952700","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1141,1141,0,0,0,1141,0,1141,1127,1077,8,14,11,0,2,15,14,5,0,2,0,0,4,3,1141,584,37,40,32,16,16,4,9,27,34,30,24,37,47,67,43,12,15,18,20,21,15,12,8,557,40,27,26,27,11,9,8,17,30,22,25,37,43,61,36,17,19,10,17,35,17,13,10
"G20000109527002","2010","2","4","Kansas","20","Allen County","001",,,"952700","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,1033,1033,0,0,0,1033,0,1033,1018,993,2,11,0,0,2,10,15,6,0,1,0,0,8,0,1033,528,31,31,50,30,14,4,2,13,18,31,30,27,37,38,44,17,18,13,16,22,15,14,13,505,26,37,29,18,13,2,3,12,24,27,28,24,43,41,40,21,18,11,13,22,19,24,10
"G20000109528001","2010","2","4","Kansas","20","Allen County","001",,,"952800","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1291,1291,1252,0,1252,39,0,1291,1253,1140,42,6,22,0,0,43,38,22,1,0,0,0,2,13,1291,595,43,33,46,25,18,32,6,23,30,39,32,33,42,34,31,19,19,7,17,20,15,15,16,696,54,37,41,32,26,15,5,25,39,47,31,31,36,50,44,14,26,9,24,25,19,26,40
"G20000109528002","2010","2","4","Kansas","20","Allen County","001",,,"952800","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,1518,1518,1338,0,1338,180,0,1518,1477,1340,72,12,13,0,0,40,41,16,1,1,0,0,9,14,1518,712,60,42,57,31,82,33,19,18,34,32,31,24,26,33,47,15,14,9,23,27,22,18,15,806,52,48,32,21,89,18,8,24,48,30,34,37,42,59,44,19,22,11,28,25,34,37,44
"G20000109528003","2010","2","4","Kansas","20","Allen County","001",,,"952800","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,1190,1190,1190,0,1190,0,0,1190,1152,1056,49,8,2,0,0,37,38,13,1,1,0,0,11,12,1190,568,50,37,42,19,15,6,7,21,57,39,37,36,38,35,29,10,13,11,10,22,11,12,11,622,54,36,30,22,19,15,9,32,51,32,28,39,32,40,33,9,22,10,19,32,17,25,16
"G20000109529001","2010","2","4","Kansas","20","Allen County","001",,,"952900","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1055,1055,1040,0,1040,15,0,1055,1019,968,9,9,12,0,0,21,36,19,1,3,0,0,12,1,1055,525,37,28,33,14,14,15,5,30,40,31,42,25,38,43,29,11,20,8,8,17,14,11,12,530,30,30,33,17,18,5,5,17,34,35,28,23,36,35,47,15,13,16,15,15,14,21,28
"G20000109529002","2010","2","4","Kansas","20","Allen County","001",,,"952900","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,633,633,633,0,633,0,0,633,611,582,7,6,2,0,0,14,22,14,0,0,0,0,7,1,633,318,21,27,21,17,12,7,4,12,25,17,19,14,30,20,14,4,11,3,8,16,8,5,3,315,25,23,25,18,3,2,2,15,25,19,21,12,20,25,18,3,11,5,7,15,9,4,8
"G20000109529003","2010","2","4","Kansas","20","Allen County","001",,,"952900","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,679,679,276,0,276,403,0,679,657,638,7,3,2,0,0,7,22,5,0,0,0,0,14,3,679,343,27,26,23,13,7,7,0,3,18,17,31,16,29,24,24,16,16,8,7,14,7,8,2,336,18,21,28,10,8,5,2,6,17,22,13,21,28,23,31,6,13,12,10,10,13,7,12
"G20000109530001","2010","2","4","Kansas","20","Allen County","001",,,"953000","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,771,771,0,0,0,771,0,771,749,731,2,2,1,0,0,13,22,13,1,0,0,0,7,1,771,393,15,29,25,14,11,3,2,11,12,12,25,26,30,31,39,14,20,6,16,17,12,15,8,378,15,18,21,21,10,3,1,6,14,17,18,25,30,38,36,17,10,9,14,18,11,18,8
"G20000109530002","2010","2","4","Kansas","20","Allen County","001",,,"953000","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,737,737,0,0,0,737,0,737,690,677,2,2,0,1,0,8,47,29,1,0,0,0,16,1,737,350,20,26,28,12,9,6,3,14,20,28,16,14,21,26,26,10,16,10,9,6,15,11,4,387,19,25,22,14,8,2,4,6,18,30,15,18,23,30,25,15,17,11,11,17,18,23,16
"G20000109530003","2010","2","4","Kansas","20","Allen County","001",,,"953000","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,595,595,0,0,0,595,0,595,569,538,13,2,0,0,0,16,26,18,0,0,0,0,8,0,595,283,23,24,29,7,8,0,3,5,22,16,23,20,14,21,16,6,9,5,5,8,4,4,11,312,27,29,22,15,3,2,4,10,17,20,20,15,20,25,17,4,10,4,5,13,5,13,12
"G20000109530004","2010","2","4","Kansas","20","Allen County","001",,,"953000","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,717,717,0,0,0,717,0,717,680,649,13,7,0,0,0,11,37,9,0,0,0,0,25,3,717,324,21,17,31,17,4,1,2,10,19,14,22,33,26,20,23,13,3,4,5,17,7,9,6,393,24,28,21,17,8,3,7,13,18,21,19,25,27,32,31,9,10,2,8,26,11,15,18
"G20000309536001","2010","2","4","Kansas","20","Anderson County","003",,,"953600","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1823,1823,185,0,185,1638,0,1823,1802,1752,12,6,11,0,3,18,21,17,0,0,0,0,4,0,1823,925,60,66,56,44,23,12,4,13,38,48,47,50,73,86,76,27,34,20,27,51,30,25,15,898,57,73,52,32,18,11,5,16,31,39,50,55,77,75,58,20,32,18,47,49,27,28,28
"G20000309536002","2010","2","4","Kansas","20","Anderson County","003",,,"953600","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,705,705,669,0,669,36,0,705,701,681,1,2,8,0,0,9,4,0,0,0,0,0,2,2,705,329,21,34,22,10,5,5,3,7,14,23,22,19,17,18,20,11,9,5,12,19,10,8,15,376,36,25,25,18,7,1,4,8,19,17,26,22,14,20,20,9,12,8,13,14,20,20,18
"G20000309536003","2010","2","4","Kansas","20","Anderson County","003",,,"953600","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,821,821,800,0,800,21,0,821,803,779,2,12,2,0,0,8,18,10,0,1,0,0,2,5,821,396,39,37,24,10,14,2,4,18,35,18,17,25,32,16,22,6,11,6,10,13,11,11,15,425,26,36,31,14,10,7,4,20,32,13,23,29,31,25,18,6,10,5,8,13,16,15,33
