GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
"G20000109526001","2010","2","4","Kansas","20","Allen County","001",,,"952600","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,2011
"G20000109527001","2010","2","4","Kansas","20","Allen County","001",,,"952700","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1141
"G20000109527002","2010","2","4","Kansas","20","Allen County","001",,,"952700","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,1033
"G20000109528001","2010","2","4","Kansas","20","Allen County","001",,,"952800","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1291
"G20000109528002","2010","2","4","Kansas","20","Allen County","001",,,"952800","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,1518
"G20000109528003","2010","2","4","Kansas","20","Allen County","001",,,"952800","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,1190
"G20000109529001","2010","2","4","Kansas","20","Allen County","001",,,"952900","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1055
"G20000109529002","2010","2","4","Kansas","20","Allen County","001",,,"952900","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,633
"G20000109529003","2010","2","4","Kansas","20","Allen County","001",,,"952900","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,679
"G20000109530001","2010","2","4","Kansas","20","Allen County","001",,,"953000","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,771
"G20000109530002","2010","2","4","Kansas","20","Allen County","001",,,"953000","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,737
"G20000109530003","2010","2","4","Kansas","20","Allen County","001",,,"953000","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,595
"G20000109530004","2010","2","4","Kansas","20","Allen County","001",,,"953000","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,717
