GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JQ5E001,JQ5E002,JQ5E003,JQ5E004,JQ5E005,JQ5E006,JQ5E007,JQ5E008,JQ5E009,JQ5E010,JQ5E011,JQ5E012,JQ5E013,JQ5E014,JQ5E015,JQ5E016,JQ5E017,JQ5E018,JQ5E019,JQ5E020,JQ5E021,JQ5E022,JQ5E023,JQ5E024,JQ5E025,JQ5E026,JQ5E027,JQ5E028,JQ5E029,JQ5E030,JQ5E031,JQ5E032,JQ5E033,JQ5E034,JQ5E035,JQ5E036,JQ5E037,JQ5E038,JQ5E039,JQ5E040,JQ5E041,JQ5E042,JQ5E043,JQ5E044,JQ5E045,JQ5E046,JQ5E047,JQ5E048,JQ5E049,JQ5E050,JQ5E051,JQ5E052,JQ5E053,JQ5E054,JQ5E055,JQ5E056,JQ5E057,JQ5E058,JQ5E059,JQ5E060,JQ5E061,JQ5E062,JQ5E063,JQ5E064,JQ5E065,JQ5E066,JQ5E067,JQ5E068,JQ5E069,JQ5E070,JQ5E071,JQ5E072,JQ5E073,NAME_M,JQ5M001,JQ5M002,JQ5M003,JQ5M004,JQ5M005,JQ5M006,JQ5M007,JQ5M008,JQ5M009,JQ5M010,JQ5M011,JQ5M012,JQ5M013,JQ5M014,JQ5M015,JQ5M016,JQ5M017,JQ5M018,JQ5M019,JQ5M020,JQ5M021,JQ5M022,JQ5M023,JQ5M024,JQ5M025,JQ5M026,JQ5M027,JQ5M028,JQ5M029,JQ5M030,JQ5M031,JQ5M032,JQ5M033,JQ5M034,JQ5M035,JQ5M036,JQ5M037,JQ5M038,JQ5M039,JQ5M040,JQ5M041,JQ5M042,JQ5M043,JQ5M044,JQ5M045,JQ5M046,JQ5M047,JQ5M048,JQ5M049,JQ5M050,JQ5M051,JQ5M052,JQ5M053,JQ5M054,JQ5M055,JQ5M056,JQ5M057,JQ5M058,JQ5M059,JQ5M060,JQ5M061,JQ5M062,JQ5M063,JQ5M064,JQ5M065,JQ5M066,JQ5M067,JQ5M068,JQ5M069,JQ5M070,JQ5M071,JQ5M072,JQ5M073
"G20000109526001","2006-2010",,,"Kansas","20","Allen County","001",,,"952600","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9526, Allen County, Kansas",946,541,155,121,121,0,29,7,22,0,2,2,0,0,0,3,0,3,19,0,8,0,8,3,5,3,48,28,20,163,49,56,58,156,55,53,48,405,150,47,25,22,3,3,0,0,56,14,0,42,0,44,19,25,52,8,0,0,0,24,4,16,125,28,97,6,2,4,0,72,47,0,25,"Block Group 1, Census Tract 9526, Allen County, Kansas",107,68,38,36,36,109,22,6,21,109,4,4,109,109,109,4,109,4,14,109,9,109,9,5,8,4,21,16,16,53,35,27,28,36,21,26,24,63,42,25,17,19,4,4,109,109,24,18,109,18,109,21,16,17,26,8,109,109,109,19,5,13,36,17,31,7,6,5,109,32,30,109,16
"G20000109527001","2006-2010",,,"Kansas","20","Allen County","001",,,"952700","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9527, Allen County, Kansas",521,281,46,33,33,0,5,3,2,0,8,2,0,0,6,0,0,0,9,5,0,0,0,0,4,0,31,29,2,84,2,37,45,111,58,45,8,240,53,0,0,0,7,7,0,0,27,4,0,23,0,19,8,11,83,8,0,0,0,24,46,5,74,26,48,10,0,0,10,20,12,1,7,"Block Group 1, Census Tract 9527, Allen County, Kansas",104,64,28,28,28,109,6,4,4,109,8,4,109,109,7,109,109,109,10,8,109,109,109,109,6,109,25,24,3,33,5,20,28,44,28,31,9,57,26,109,109,109,10,10,109,109,17,6,109,17,109,18,10,15,48,11,109,109,109,22,43,7,42,27,26,11,109,109,11,14,13,2,7
"G20000109527002","2006-2010",,,"Kansas","20","Allen County","001",,,"952700","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9527, Allen County, Kansas",506,270,52,34,31,3,2,0,2,0,14,7,0,0,7,2,2,0,26,0,0,0,0,6,20,0,48,29,19,61,4,24,33,83,17,52,14,236,81,54,54,0,0,0,0,0,18,0,0,18,0,9,7,2,42,10,0,0,0,14,10,8,67,37,30,0,0,0,0,46,35,0,11,"Block Group 2, Census Tract 9527, Allen County, Kansas",108,65,23,19,20,4,3,109,3,109,16,10,109,109,11,3,3,109,23,109,109,109,109,10,20,109,31,27,20,32,9,24,21,28,15,28,19,59,36,36,36,109,109,109,109,109,16,109,109,16,109,12,12,3,26,13,109,109,109,15,14,10,31,25,17,109,109,109,109,34,27,109,17
"G20000109528001","2006-2010",,,"Kansas","20","Allen County","001",,,"952800","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9528, Allen County, Kansas",741,391,136,40,16,24,61,49,12,0,35,0,10,14,11,0,0,0,55,0,22,0,22,33,0,0,12,0,12,110,0,70,40,78,13,48,17,350,115,56,26,30,13,13,0,0,16,0,0,16,0,30,30,0,109,28,7,7,0,12,0,62,74,18,56,0,0,0,0,52,52,0,0,"Block Group 1, Census Tract 9528, Allen County, Kansas",175,107,67,33,25,26,51,48,19,109,35,109,17,23,17,109,109,109,39,109,26,109,26,32,109,109,21,109,21,71,109,54,32,49,20,40,22,88,56,40,30,25,22,22,109,109,19,109,109,19,109,30,30,109,50,32,12,12,109,19,109,36,41,21,40,109,109,109,109,44,44,109,109
"G20000109528002","2006-2010",,,"Kansas","20","Allen County","001",,,"952800","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9528, Allen County, Kansas",711,323,62,42,29,13,0,0,0,0,20,0,0,20,0,0,0,0,52,0,9,9,0,0,43,0,69,56,13,84,14,40,30,56,25,9,22,388,110,32,32,0,0,0,0,0,57,12,0,29,16,21,21,0,100,41,0,0,0,27,16,16,161,91,70,0,0,0,0,17,0,0,17,"Block Group 2, Census Tract 9528, Allen County, Kansas",188,122,34,31,26,21,109,109,109,109,30,109,109,30,109,109,109,109,54,109,16,16,109,109,51,109,58,55,19,52,22,37,30,42,28,14,26,168,53,31,31,109,109,109,109,109,44,20,109,31,27,23,23,109,79,42,109,109,109,32,26,27,92,73,39,109,109,109,109,25,109,109,25
"G20000109528003","2006-2010",,,"Kansas","20","Allen County","001",,,"952800","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9528, Allen County, Kansas",456,226,37,15,15,0,0,0,0,0,22,0,0,12,10,0,0,0,27,0,10,0,10,0,17,0,12,9,3,22,0,0,22,128,85,19,24,230,33,14,0,14,0,0,0,0,11,0,0,11,0,8,0,8,53,13,0,0,0,17,0,23,103,10,93,0,0,0,0,41,41,0,0,"Block Group 3, Census Tract 9528, Allen County, Kansas",122,80,31,23,23,109,109,109,109,109,20,109,109,12,17,109,109,109,29,109,17,109,17,109,23,109,16,15,7,26,109,109,26,70,63,21,27,73,28,22,109,22,109,109,109,109,13,109,109,13,109,11,109,11,37,20,109,109,109,18,109,23,53,15,52,109,109,109,109,28,28,109,109
"G20000109529001","2006-2010",,,"Kansas","20","Allen County","001",,,"952900","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9529, Allen County, Kansas",672,394,140,47,47,0,39,0,39,0,54,22,11,11,10,0,0,0,41,0,0,0,0,33,8,0,0,0,0,0,0,0,0,213,91,47,75,278,157,36,36,0,11,0,11,0,63,28,0,25,10,47,47,0,46,16,0,0,0,11,0,19,52,11,41,0,0,0,0,23,0,0,23,"Block Group 1, Census Tract 9529, Allen County, Kansas",156,114,64,51,51,109,36,109,36,109,35,26,16,17,16,109,109,109,47,109,109,109,109,45,12,109,109,109,109,109,109,109,109,82,62,36,43,66,62,45,45,109,16,109,16,109,36,24,109,24,16,39,39,109,33,16,109,109,109,16,109,20,33,18,29,109,109,109,109,35,109,109,35
"G20000109529002","2006-2010",,,"Kansas","20","Allen County","001",,,"952900","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9529, Allen County, Kansas",303,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,10,10,0,71,0,71,0,60,51,9,0,148,54,0,0,0,0,0,0,0,19,0,0,19,0,35,30,5,52,21,12,0,12,0,0,19,9,0,9,0,0,0,0,33,33,0,0,"Block Group 2, Census Tract 9529, Allen County, Kansas",142,85,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,22,109,109,109,109,109,109,22,17,17,109,57,109,57,109,43,43,15,109,71,47,109,109,109,109,109,109,109,20,109,109,20,109,42,41,10,46,33,18,109,18,109,109,23,13,109,13,109,109,109,109,36,36,109,109
"G20000109529003","2006-2010",,,"Kansas","20","Allen County","001",,,"952900","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9529, Allen County, Kansas",274,133,57,45,45,0,0,0,0,0,12,0,0,5,7,0,0,0,12,0,0,0,0,10,2,0,7,7,0,16,0,9,7,41,30,11,0,141,54,25,10,15,0,0,0,0,5,0,0,5,0,24,24,0,32,6,0,0,0,15,0,11,27,0,27,0,0,0,0,28,16,0,12,"Block Group 3, Census Tract 9529, Allen County, Kansas",92,59,39,36,36,109,109,109,109,109,15,109,109,10,12,109,109,109,17,109,109,109,109,16,4,109,12,12,109,17,109,13,11,34,28,16,109,50,32,28,17,22,109,109,109,109,8,109,109,8,109,27,27,109,25,11,109,109,109,20,109,14,25,109,25,109,109,109,109,28,22,109,14
"G20000109530001","2006-2010",,,"Kansas","20","Allen County","001",,,"953000","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9530, Allen County, Kansas",429,212,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,10,11,0,64,45,19,33,0,25,8,60,40,10,10,217,70,38,21,17,10,0,0,10,12,0,0,12,0,10,0,10,18,18,0,0,0,0,0,0,88,30,58,10,10,0,0,31,31,0,0,"Block Group 1, Census Tract 9530, Allen County, Kansas",124,64,31,31,31,109,109,109,109,109,109,109,109,109,109,109,109,109,23,109,109,109,109,16,17,109,41,41,20,32,109,29,12,35,31,15,14,71,39,32,23,26,16,109,109,16,18,109,109,18,109,16,109,16,18,18,109,109,109,109,109,109,48,28,39,15,15,109,109,42,42,109,109
